
#----------------------------------------------------
#TIMESTEP
#----------------------------------------------------

timestep	1

#----------------------------------------------------
#NPT RUN
#----------------------------------------------------

fix		fxnpt all npt temp 300 300 100 iso 1.0 1.0 1000.0

run		1000000
Neighbor list info ...
  1 neighbor list requests
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 4.1
  ghost atom cutoff = 4.1
  binsize = 2.05 -> bins = 50 50 5
Memory usage per processor = 5.34324 Mbytes
Step Temp PotEng KinEng TotEng v_Fx v_Fy 
  247000    299.85355   -20975.068    3517.1285   -17457.939 2.7888802e-13 3.4106051e-13 
  248000    294.66435   -20988.807    3456.2618   -17532.545 4.2632564e-14 -1.8829382e-13 
  249000    298.94654   -20979.674    3506.4897   -17473.184 7.8159701e-14 5.6843419e-14 
  250000    300.96352   -20949.459    3530.1478   -17419.311 2.4868996e-13 -1.0569323e-13 
  251000     291.8092   -21029.157    3422.7724   -17606.384 1.9184654e-13 -7.4606987e-14 
  252000    295.00887   -20806.467    3460.3029   -17346.164 1.6342483e-13            0 
  253000    300.79216   -20774.718    3528.1379    -17246.58 1.8474111e-13 -9.9475983e-14 
  254000    301.57473    -20891.18     3537.317   -17353.863 -2.9132252e-13 1.7763568e-13 
  255000    304.21111   -20782.031    3568.2404    -17213.79 -2.5757174e-14 -2.0250468e-13 
  256000    302.19459    -20954.19    3544.5877   -17409.602 -2.9132252e-13 1.6342483e-13 
  257000    298.72004   -21043.557     3503.833   -17539.724 -2.7000624e-13 2.5757174e-14 
  258000    299.01843   -20992.092     3507.333   -17484.759 2.2026825e-13 -6.2172489e-14 
  259000    295.36509   -20829.991    3464.4812    -17365.51 -5.0093263e-13 -3.5527137e-14 
  260000    298.94724   -20823.472    3506.4979   -17316.974 2.8066438e-13 -1.6342483e-13 
  261000    305.09855   -20907.029    3578.6497   -17328.379 -2.0605739e-13 -4.7606363e-13 
  262000    305.76363   -20895.875    3586.4507   -17309.424 -2.344791e-13 -9.2370556e-14 
  263000    298.25503   -20922.673    3498.3787   -17424.294 -4.6185278e-14 -2.4158453e-13 
  264000    302.77782   -20835.198    3551.4286   -17283.769 -6.3948846e-14 2.7000624e-13 
